clean_title,title_length,tweet_count,exclaim_count,question_count,has_url,actual_label,predicted_label,fake_score,correct
blake shelton is people s sexiest man alive for 2017,10,45,0,0,1,1,1,0.8824890739388658,True
check reality behind brad pitt jennifer aniston bonding like never before alivetales,12,48,0,0,1,1,1,0.9545315180795031,True
brie bella thanks fans from hospital days after giving birth to daughter birdie she s the most,17,0,0,0,1,0,0,0.04319897993583615,True
dakota meyer,2,47,0,0,1,0,1,0.5436187762962609,False
botched doctors terry dubrow paul nassif reveal the most shocking surgeries,11,38,0,0,1,0,0,0.10857444952681207,True
jenna dewan,2,80,0,0,1,0,0,0.3842154428984516,True
jennifer garner and ben affleck expecting their 4th child together following surprise pregnancy bombshell exclusive,15,3,0,0,1,1,1,0.8208981634553375,True
miranda lambert and blake shelton had an affair her ex claims,11,83,0,0,1,1,1,0.8814996691992237,True
wells adams gushes over relationship with sarah hyland it s weirdly normal,12,37,0,0,1,0,0,0.11905926962628748,True
kylie jenner reveals her baby daughter s name is stormi,10,54,0,0,1,0,0,0.3517265342174774,True
marvel s runaways series premiere recap teenage dream,8,28,0,0,1,0,0,0.06800992693590299,True
vanessa hudgens bundles up in white fur coat while promoting film second act on late night talk show,18,38,0,0,1,0,0,0.21909763184249395,True
here are the best looks from the cmt music awards red carpet,12,67,0,0,1,0,0,0.0396991092289074,True
megan keeps having terrible flashbacks to her kidnapping during her engagement party on the arrangement,15,15,0,0,1,0,0,0.18661845264448715,True
robert downey jr shares epic lunch break photo with his avengers infinity war co stars,15,19,0,0,1,0,0,0.1067732420315522,True
r kelly sued by texas woman for sexual battery false imprisonment claims he gave her std,16,9,0,0,1,0,1,0.5339368981545598,False
jennifer lopez finally hears from her family in puerto rico,10,29,0,0,1,0,0,0.38897564788806893,True
julia stiles debuts baby bump on instagram i couldn t resist,11,1,0,0,1,0,0,0.3197406785099413,True
skier lindsey vonn leaves the 2018 winter olympics with lots of tweets but just one medal,16,76,0,0,1,0,0,0.17198677992188366,True
ruby rose admits that being mean doesn t suit her after slamming katy perry s new music,17,70,0,0,1,0,0,0.3555490244291751,True
brad pitt s mom is not begging him to get back with jennifer aniston gossip cop reports,17,5,0,0,1,1,1,0.9898430768657613,True
the dating game,3,45,0,0,1,0,1,0.5198602437706691,False
this week transcript sen dianne feinstein and rep mike rogers,10,2245,0,0,1,0,0,0.3464583514166892,True
daniel bryan fights back tears after daughter birdie watches him wrestle on total bellas it s just unbelievable,18,8,0,0,1,0,0,0.14467331496102445,True
violence threats begging harvey weinstein s 30 year pattern of abuse in hollywood,13,2,0,0,1,0,0,0.25535618059625725,True
chiquis rivera reveals her beauty routine and how she prepares for red carpets heat celeb news,16,97,0,0,1,0,0,0.0552101358970767,True
corinne olympios apologizes to demario jackson over bip sex scandal i m sorry you had to go through this,19,111,0,0,1,0,0,0.10894489655563594,True
amber heard and elon musk aren t dating anymore update,10,1,0,0,1,0,0,0.407287922660366,True
sag awards 2018 red carpet arrivals see all the glamorous looks from the 24th annual ceremony,16,26,0,0,1,0,0,0.0339787868198859,True
russell crowe breaks his silence on his relationship with terri irwin,11,20,0,0,1,1,0,0.24398961848609754,False
simon cowell rushed to hospital after accident at his london home,11,265,0,0,1,0,0,0.2587653807114227,True
exclusive go behind the scenes of a wrinkle in time with oprah winfrey,13,2,0,0,1,0,0,0.24896686061579384,True
bachelor in paradise newlyweds on getting married during the abc show s shutdown,13,1,0,0,1,0,0,0.1501757544053075,True
the rhoc season 13 trailer is finally here the real housewives,11,12,1,0,1,0,0,0.03494379960275296,True
7 questionable details about taylor swift and joe alwyn s relationship including her military like mission to keep it under wraps,21,6,0,0,1,1,1,0.5017725093011237,True
taylor swift gives surprise performance at nashville s bluebird cafe,10,118,0,0,1,0,0,0.29836649221451056,True
shailene woodley reveals she almost quit acting before starring in big little lies,13,40,0,0,1,0,0,0.33790962545529546,True
meghan king edmonds reveals the heartwarming names of her twin sons,11,2,0,0,1,0,0,0.13414440509681597,True
blac chyna hires lisa bloom as attorney for restraining order case against rob kardashian,14,7,0,0,1,1,0,0.4277447209651521,False
dumbledore won t be explicitly gay in fantastic beasts 2 but why,12,51,0,1,1,0,1,0.6538603585538827,False
iranian official drops bombshell obama secretly gave citizenship to 2500 iranians as part of nuke deal,16,95,0,0,1,1,1,0.5216073237457637,True
kim kardashian and kanye west s wedding all the best photos from paris and florence photos,16,30,0,0,1,1,0,0.4968219653844318,False
jennifer lopez reveals how her romance with alex rodriguez got started spoiler alert cobb salad was involved,17,45,0,0,1,0,0,0.48129977884958874,True
inside tom hanks and rita wilson s love story 30 years of family travel foot rubs and the best damn support system ever,23,39,0,0,1,0,0,0.3220821182116539,True
will smith jada pinkett not getting 270 million divorce despite report,11,35,0,0,1,1,1,0.9096630278305416,True
best dressed,2,65,0,0,1,0,0,0.05676208861426143,True
cardi b meets superfan aidy bryant on saturday night live,10,71,0,0,1,0,0,0.25483927161569925,True
brad pitt and jennifer aniston s second wedding joy,9,25,0,0,1,1,1,0.9626204639403273,True
when dj khaled sells his clothes for a good cause,10,1,0,0,1,0,0,0.10410823045013871,True
jennifer hudson reveals how she experiences prejudice on a regular basis,11,53,0,0,1,0,0,0.428239849854889,True
selena gomez excited gif,4,875,0,0,1,1,1,0.7345615111722424,True
drew scott is married the property brothers star weds linda phan in magical italian ceremony,15,36,1,0,1,0,0,0.22254248558297246,True
donald trump almost played the president in sharknado 3,9,197,0,0,1,0,1,0.8887579052444976,False
see inside gwen stefani s over the top beverly hills mansion,11,88,0,0,1,0,1,0.5161042235145243,False
demi lovato reveals why wiz khalifa and paris hilton star in sorry not sorry,14,50,0,0,1,0,0,0.06285338167263393,True
spoiler alert how deadpool 2 landed its vanisher cameo,9,41,1,0,1,0,0,0.34087816960040984,True
drake new album scorpion features michael jackson and jay z,10,1,0,0,1,0,1,0.601299612328114,False
jennifer lawrence gets kim kardashian to open up about dildos kris humphries and drunken dinner parties,16,10,0,0,1,0,0,0.4019447196343222,True
no cinderella margo jefferson on the real meghan markle,9,175,0,0,1,1,1,0.6196675450540158,True
video dailymotion,2,931,0,0,1,1,0,0.3326605237331854,False
arie luyendyk jr and lauren burnham are king and queen of awkward kisses,13,78,0,0,1,0,0,0.0663268685404905,True
steve wilkos charged with dui for january car crash confesses to rehab stint,13,63,0,0,1,0,0,0.28175132197004354,True
kristin cavallari and jay cutler net worth,7,14,0,0,1,0,0,0.19926192793197725,True
forbes ranked the 10 highest paid actors in the world and no 1 wasn t even in a movie this year,21,53,0,0,1,0,0,0.19768572767936685,True
this is what happened when kim depaola came face to face with terry dubrow,14,56,0,0,1,0,0,0.34255495581843104,True
did emily vancamp marry her revenge co star,8,68,0,1,1,0,0,0.46344829977277957,True
jordin sparks reveals crush on chris brown chris says he s not interested,13,28,0,0,1,0,0,0.49882628013245844,True
blake shelton settles lawsuit over in touch rehab story,9,6,0,0,1,1,1,0.8781639548388858,True
youtube drops logan paul from google preferred ad platform after suicide forest video,13,73,0,0,1,0,0,0.12381384318577858,True
amazon com paper crown women s cannes dress spiced wine crepe 10 clothing,13,32,0,0,1,0,0,0.14010878898710846,True
kim kardashian trolling her own bikini pic on instagram is everything,11,195,0,0,1,1,0,0.2523890427833241,False
meghan markle s family s anger as sister to cash in on relationship with prince harry,16,52,0,0,1,0,1,0.7287329416368039,False
elizabeth olsen on what to expect from avengers 4 things are only going to get worse,16,33,0,0,1,0,0,0.12476910731032458,True
justin timberlake stops concert for epic pregnancy announcement,8,56,0,0,1,0,0,0.2864444620044174,True
gal gadot wins seeher award at critics choice 2018 calls for more female led films,15,38,0,0,1,0,0,0.1336293727155452,True
jimmy kimmel s wife and head writer why we shared our baby s trauma and what came after,18,1,0,0,1,0,0,0.1958276511320976,True
eminem s raps letter to daughter hailie in new song,10,31,0,0,1,0,0,0.07161123297909261,True
10 celebrities who have used dating apps,7,59,0,0,1,0,1,0.6740775984265346,False
kate middleton trash talks meghan markle daily report,8,5,0,0,1,1,1,0.9030217260456908,True
ariana grande rihanna wasn t laughing at my dance moves,10,1016,0,0,1,1,1,0.5083079278794234,True
charlize theron and alexander skarsgard s romance is back on,10,7,0,0,1,1,0,0.43093091164755354,False
kim kardashian says she s on edge after paris robbery arrests in new kuwtk promo i can t trust anyone,20,0,0,0,1,0,0,0.2885810833112187,True
trump has a long and warm relationship with oprah that helped springboard his presidential ambitions,15,17,0,0,1,1,0,0.36219512639545104,False
vma 2017 lorde had the flu she performed anyway,9,30,0,0,1,0,0,0.35670499934338207,True
will grace creators break down that highly emotional fan favorite farewell,11,61,0,0,1,0,0,0.04900202931647785,True
angelina jolie secretly seething jennifer aniston globes,7,5,0,0,0,1,1,0.9932021973612616,True
us report claims meghan markle and kate middleton are both expecting a baby,13,12,0,0,1,1,1,0.883176607863188,True
tim mcgraw and faith hill s farm is 20 million,10,57,0,0,1,0,1,0.5826534592121343,False
blake shelton gwen s baby plans surrogacy adoption were discussed on mother s day,14,9,0,0,1,1,1,0.8697056148090674,True
14 ways the marvel cinematic universe could change after avengers infinity war,12,25,0,0,1,0,0,0.1118375276289367,True
hilary duff posts pic of her growing baby bump and admits her second pregnancy is hard as hell,18,14,0,0,1,0,0,0.15344423434089624,True
robert pattinson refused to perform sex act on a dog in good time,13,31,0,0,1,0,1,0.5298219676851424,False
kate mckinnon thanks hillary clinton after second consecutive emmys win,10,42,0,0,1,0,0,0.4005249806298747,True
nicole williams and larry english s laguna beach wedding album,10,40,0,0,1,0,0,0.15084482527285886,True
why justin bieber had no idea selena gomez had a kidney transplant,12,19,0,0,1,1,1,0.912372594102891,True
liev schreiber hugs minnie driver s sister at oscars party,10,6,0,0,1,1,0,0.30286978129625614,False
kim khloe and kourtney kardashian look like a group of futuristic girls in tokyo tech2,15,104,0,0,1,0,0,0.20599826291991863,True
very sad news about pink s marriage,7,4,0,0,1,1,0,0.4211417995254074,False
jennifer aniston 49 had tons of therapy to get over split from husband justin theroux,15,19,0,0,1,0,1,0.9228017543645389,False
here s how much taylor swift s life has changed since her 2016 fourth of july party,17,1,0,0,1,0,1,0.612435748481535,False
tde s dave free talks teamwork kendrick lamar s pulitzer and marvel,12,0,0,0,1,0,0,0.23212733297199195,True
jessie james decker makes a splash in green bikini as she dotes on daughter vivianne at miami,17,0,0,0,1,0,0,0.01708098391857396,True
eric schneiderman helped nxivm sell child sex slaves to the clintons,11,30,0,0,1,1,0,0.3062028900614311,False
nicole kidman and keith urban s relationship is at breaking point,11,5,0,0,1,1,1,0.9465734393979598,True
joshua jackson secretly dating january jones,6,9,0,0,1,1,1,0.6432662975628665,True
katy perry responds to critics of her new image i didn t con people this is me now,18,96,0,0,1,0,1,0.5783557545125749,False
actor tom cruise proposes to girlfriend katie holmes at eiffel tower,11,0,0,0,1,1,1,0.9255047861063661,True
watch carrie underwood open super bowl 52 with her new video for the champion,14,84,0,0,1,0,0,0.12330269331438966,True
kendra wilkinson takes a snow day with son amid split speculation,11,80,0,0,1,0,0,0.13775879887396636,True
cbs chiefs hawaii five 0 actors were offered a lot of money to stick around,15,21,0,0,1,0,0,0.13218991883026573,True
caitlyn jenner to marry transgender student 47 years her junior as it s revealed she hasn t met khloe and kim s babies,23,4,0,0,1,1,1,0.7166063831796667,True
i miss you so much cheryl burke breaks social media hiatus to mourn death of her father,17,100,0,0,1,0,0,0.15213669834887977,True
you may want to marry my husband,7,44,0,0,1,0,1,0.5135987151281155,False
mariah not dating both nick cannon and bryan tanaka,9,129,0,0,1,1,1,0.6799723089251568,True
paris hilton s epic romantic history all the hookups breakups drama you forgot about gossip,15,1,0,0,1,0,0,0.32365633942963434,True
serena williams and fiance alexis ohanian introduce daughter alexis olympia,10,27,0,0,1,0,0,0.18005430845651482,True
brooke shields joins season 19 of law order svu variety,10,1,0,0,1,0,0,0.12386835785087745,True
14 hidden messages you might have missed in taylor swift s end game video,14,79,0,0,1,0,0,0.44638693242953487,True
shay mitchell gets schooled by kim kardashian s makeup artist,10,20,0,0,1,0,0,0.20630885449909472,True
here s a new way to sing along to coco s remember me,13,10,0,0,1,0,0,0.24088719499365255,True
kendall jenner pictured kissing gigi and bella hadid s brother anwar,11,2,0,0,1,1,0,0.36492237820478446,False
the bachelorette s dean unglert still isn t speaking to his father after their emotional reunion,16,1,0,0,1,0,0,0.09061872919815304,True
jennifer lopez did not get boob job despite report,9,7,0,0,1,1,1,0.9645721430015833,True
ryan seacrest to return as host of american idol reboot in 2018,12,184,0,0,1,0,0,0.4645417779715353,True
chance the rapper is engaged to longtime girlfriend kirsten corley,10,88,0,0,1,0,0,0.2593862396146942,True
why is kaia gerber suddenly the centre of the fashion universe,11,1,0,1,1,0,1,0.5549620184117057,False
ronnie ortiz magro jen harley celebrate july 4 together after arrest,11,53,0,0,1,0,0,0.21154275535238942,True
kim kardashian s tweet about kylie jenner s forbes cover proves she s far from jealous,16,1011,0,0,1,1,1,0.9099730838158847,True
dinosaurs face extinction again in jurassic world fallen kingdom trailer,10,28,0,0,1,0,0,0.17598386205831168,True
jordyn woods 7 favorite beauty products are really unexpected,9,25,0,0,1,0,0,0.03656473771608548,True
brad pitt jennifer aniston reunion movie truth behind the rumoured rom com film,13,1,0,0,1,1,1,0.9550249224237835,True
breaking trump fires deputy attorney general rod rosenstein raising questions over mueller s fate,14,0,0,0,1,1,1,0.8994482054658237,True
janet jackson introduces baby boy eissa to twitter crowd,9,154,0,0,1,0,0,0.21297525221473926,True
latavia roberson says it wasn t pretty when she was dropped from destiny s child it led me into a depression,21,10,0,0,1,0,0,0.24370668387286273,True
sofia richie is basically morphing into kourtney kardashian and she knows it exclusive,13,46,0,0,1,1,1,0.7786293562985057,True
shay mooney of dan shay marries fianc hannah billingsley,9,2,0,0,1,0,0,0.07429713417069267,True
jason aldean responds to las vegas shooting time to come together and stop the hate,15,32,1,0,1,0,0,0.484192468528505,True
omarosa celeb apprentice alum hospitalized after white house injury report,10,16,0,0,1,1,0,0.4543661705086188,False
david foster and katharine mcphee are all smiles as they pose together at oscars party,15,68,0,0,1,0,0,0.2491923018962754,True
kim kardashian shares cute video of daughter chicago,8,97,0,0,1,0,0,0.16141111609986183,True
obama for america tv ad firms,6,2303,0,0,1,0,0,0.46361242141412423,True
felicity jones marries charles guard in secret wedding at castle,10,78,0,0,1,0,0,0.277883227328205,True
ellen degeneres is determined to get beyonc to follow her on instagram is all of us,16,40,0,0,1,0,0,0.4833900494100934,True
camila mendes and victor houston party with her riverdale co stars at comic con 2018,15,0,0,0,1,0,0,0.043434160420978446,True
13 reasons why tied to rise in suicide searches online,10,1,0,0,1,0,0,0.44470579922083475,True
u s imports exports,4,1293,0,0,1,0,0,0.4398766272942729,True
rita ora performs in glasgow after hayley kiyoko calls her new single girls tone deaf,15,3,0,0,1,0,0,0.08039661489402097,True
beyonce knowles beyonce style and african women,7,16,0,0,1,1,1,0.5446131380132695,True
buffy the vampire slayer reboot writer responds to fan backlash,10,9,0,0,1,0,0,0.12402134430066365,True
animal lover robert pattinson reveals how his rescue dog became a pampered pooch overnight,14,16,0,0,1,1,1,0.7428823414021113,True
bin laden is alive and well in the bahamas says edward snowden,12,195,0,0,1,1,0,0.16927566139926611,False
george clooney speaks out on harvey weinstein it s disturbing on a whole lot of levels,16,111,0,0,1,0,0,0.3284144078122321,True
gilmore girls star matt czuchry knows the answer to the revival s biggest mystery,14,50,0,0,1,0,0,0.1367731609478042,True
taylor swift jealous of harry styles,6,715,0,0,0,1,1,0.9854711743477511,True
jason aldean and wife brittany kerr revealed the gender of their baby in the cutest way,16,104,0,0,1,0,0,0.22564357499793103,True
see the official royal baby announcement outside buckingham palace,9,56,0,0,1,1,0,0.32221262032993375,False
ryan reynolds body underneath his deadpool costume is what dreams are made of,13,19,0,0,1,0,0,0.2866459655684061,True
a star is born the easter eggs bradley cooper hid in his lady gaga remake,15,57,0,0,1,0,1,0.5903729343796277,False
dax shepard reveals the downside of being married to kristen bell,11,54,0,0,1,0,0,0.10065950775421363,True
karlie kloss is engaged to joshua kushner their hearts are full,11,0,0,0,1,0,0,0.3570589536849268,True
13 worst celebrity national anthem performances of all time from roseanne barr to rachel platten videos,16,57,0,0,1,0,0,0.19939785432088666,True
celebrities react to white nationalists rally in charlottesville va,9,1,0,0,1,1,1,0.9651812817839492,True
serena williams cries over husband alexis ohanian surprising her with billboards of their baby,14,45,0,0,1,0,0,0.19284670057106024,True
13 reasons why soundtrack artist car seat headrest slams the show,11,81,0,0,1,0,0,0.39080415738890767,True
5 things to know about amber portwood s new boyfriend,10,77,0,0,1,0,0,0.13772942640126545,True
is stranger things actor david harbour dating alison sudol,9,144,0,1,1,0,1,0.5110724166041528,False
e news exclusive la myia good panics over photoshoot with eric bellinger on the platinum life i gotta get my s t together,23,7,2,0,1,0,0,0.37521102773421244,True
la la anthony and estranged husband carmelo make out she admits they re figuring out marriage,16,92,0,0,1,0,0,0.269011743533261,True
beyonce spurs more pregnancy rumors in new flowy dress exposing major cleavage pics,13,3,0,0,1,1,1,0.5357143050527718,True
erin andrews marries jarret stoll get the wedding details,9,0,0,0,1,0,0,0.1328388601959245,True
the first author to become a billionaire was,8,49,0,1,1,0,1,0.7395319699715018,False
piers morgan why did trump hire rob porter and omarosa,10,16,0,1,1,0,1,0.8462792196935212,False
a fake harry styles scares niall horan on ellen show,10,19,0,0,1,0,1,0.5982971732122834,False
justin bieber tattoo guide all the sorry star s designs what they mean,13,53,0,0,1,0,0,0.2703455405378155,True
tracee ellis ross explains sexual harassment to the handsy man,10,16,0,0,1,0,0,0.07959753021796508,True
the truth about ben affleck lindsay shookus and jennifer garner s alleged love triangle,14,1,0,0,1,0,1,0.7782740454336637,False
hulu is reviving animaniacs and we re having awesome saturday morning flashbacks,12,53,0,0,1,0,0,0.40559227190082864,True
us report mary kate olsen pregnant,6,0,0,0,1,1,1,0.8566930625472372,True
wedding of prince charles and camilla parker bowles,8,54,0,0,1,0,0,0.29341120192118214,True
beyonce looks amazing in instagram snap defiant against online trolls,10,0,0,0,1,1,1,0.5198220191744548,True
lena waithe pays tribute to fellow trailblazers in heartfelt speech at mtv awards,13,73,0,0,1,0,0,0.05070227576805585,True
amy schumer splits with boyfriend ben hanisch after nearly two years,11,80,0,0,1,0,1,0.510833357197487,False
alec baldwin memoir nevertheless 10 biggest revelations,7,71,0,0,1,0,0,0.25689728544033313,True
malika confronts khloe on fear of becoming secondary,8,4,0,0,1,0,1,0.5581716595870876,False
mindy kaling tells oprah winfrey about spiritual connection to late mom,11,44,0,0,1,0,0,0.10119366228137455,True
one direction,2,17,0,0,1,0,0,0.22947461151189222,True
matthew lawrence reunites with boy meets world co star ben savage to celebrate engagement to cheryl burke,17,0,0,0,1,0,0,0.17627935378131573,True
selena gomez not looking to compete with justin bieber in finding a rebound romance,14,10,0,0,1,1,1,0.890698724099139,True
lea michele s hairstylist s mixes texture spray with coconut oil to fake second day hair,16,23,0,0,1,0,0,0.32065073509501396,True
hispanic populations share of wealth likely to increase by 2025,10,31,0,0,1,0,0,0.17704424152722983,True
3 signs that justin bieber selena gomez were never meant to last that no one noticed,16,965,0,0,1,0,1,0.9064835799416623,False
titanic real life replica china tourist attraction leo,8,35,0,0,1,0,0,0.2604153375901305,True
kendra wilkinson baskett confirms split from husband hank we have chosen to go our own ways,16,16,0,0,1,0,0,0.09027064711881712,True
selena gomez and justin bieber can t keep their hands to themselves during jamaican getaway,15,9,0,0,1,1,1,0.766236166088879,True
trump s tough talk on hedge fund taxes doesn t match his plan,13,76,0,0,1,0,1,0.7189794290735949,False
blake shelton shares more proof that kelly clarkson could be gwen stefani s biggest fan,15,27,0,0,1,1,1,0.5417952071587139,True
here is the complete list of bet awards 2017 winners,10,585,0,0,1,0,1,0.5721353200181819,False
bethenny frankel says she once went on a date with meghan markle s ex husband,15,0,0,0,1,0,0,0.17325310065215255,True
girl fight nasim tells megan she s full of s t and accuses her of cheating on kyle on the arrangement on the arrangement,24,37,1,0,1,0,0,0.07942373793222741,True
julianna margulies reveals why she nixed good fight season 1 guest stint,12,15,0,0,1,0,0,0.0528419765631593,True
angelina jolie furious she can t take her children out of the us,13,1,0,0,1,1,1,0.9253259867937073,True
virginia republican wants schools to check children s genitals before using bathroom,12,93,0,0,1,1,1,0.6419775156090642,True
justin bieber explains why he s not in a relationship i got my heart broken,15,72,0,0,1,1,1,0.6673043599056621,True
westworld season 2 trailer secrets things you missed,8,11,0,0,1,0,0,0.05620134444558057,True
mirka federer,2,1,0,0,1,0,0,0.30578093022588865,True
cardi b becomes first female rapper with two billboard number ones,11,9,0,0,1,0,0,0.1796217029244335,True
baywatch review dwayne the rock johnson and zac efron bring muscles and fun to the beach,16,20,0,0,1,1,0,0.08410186892139251,False
robert pattinson and fka twigs definitely still together after singer spotted with male model source,15,19,0,0,1,0,1,0.7279601591906814,False
jen s rage aniston in revenge mode against emma after she s caught with justin,15,979,0,0,1,1,1,0.9045671141539863,True
ben affleck and lindsay shookus the way they were,9,84,0,0,1,0,1,0.6386647583312427,False
ellen degeneres and wife portia s 400 million divorce,9,14,0,0,1,1,1,0.7783842434514352,True
justin bieber drives up to selena gomez s house amidst rumors,11,41,0,0,1,1,1,0.9472798081371039,True
bella thorne spills the tea on what really went down with tyler posey charlie puth,15,57,0,0,1,0,0,0.15355018558712238,True
blake shelton gwen stefani why she s having mixed emotions about his 41st birthday,14,66,0,0,1,1,1,0.9224772958745374,True
naomi watts calls former boyfriend heath ledger a darling heart on late actor s 39th birthday,16,47,0,0,1,0,0,0.19004524062066788,True
teen mom 2 jenelle evans says she will never reconcile with her mom barbara,14,1,0,0,1,0,0,0.047627191901676705,True
why mariska hargitay considers law order svu her calling,9,70,0,0,1,0,0,0.15642274939834566,True
tom petty s final interview just days before his death working keeps me young,14,39,0,0,1,0,0,0.2729547797720127,True
exclusive c line dion on the met gala and her 10 000 pairs of shoes,15,27,0,0,1,0,0,0.13321560791656123,True
who are the 13 reasons why cast dating,8,18,0,1,1,0,1,0.5591478397452845,False
lily collins reveals the secret behind her flawless skin,9,66,0,0,1,0,0,0.21299693351769625,True
second wives club canceled after one season,7,37,0,0,1,0,0,0.05418248031509951,True
russell tovey splits from rugby player fiance steve brockman just months after engagement,13,75,0,0,1,0,0,0.2796810693377612,True
american idol renewed katy perry co all set to return,10,237,0,0,1,0,0,0.4557599878350254,True
halle berry reveals her biggest worry as a parent,9,56,0,0,1,0,0,0.34486627410470216,True
selena gomez feeling empowered,4,133,0,0,1,1,1,0.607362702977858,True
kim kardashian shades lindsay lohan for foreign accent,8,42,0,0,1,0,1,0.8118040421321764,False
nia jax on promoting a positive body image in her return to total divas,14,55,0,0,1,0,0,0.08856952535088888,True
ben affleck can t stop smiling with new girlfriend lindsay shookus,11,1,0,0,1,0,1,0.7925398010616374,False
taylor swift wants to set down roots with joe alwyn in england,12,2,0,0,1,1,1,0.7591237015066908,True
crock pot responds to shocking this is us twist innocent until proven guilty,13,2,0,0,1,0,0,0.2230657356682914,True
page 2111 us weekly,4,1,0,0,1,1,1,0.7827857624549224,True
chris brown hurt over rihanna pregnancy rumors that should be my baby,12,60,0,0,1,1,1,0.9153146206435054,True
what is the net worth of the vanderpump rules cast,10,87,0,1,1,0,0,0.22340644109715485,True
outlander renewed for seasons 5 and 6 at starz,9,288,0,0,1,0,0,0.10414212451301894,True
alex rodriguez,2,88,0,0,1,0,1,0.5993692987669441,False
under 100 dresses inspired by rihanna s summer wardrobe,9,89,0,0,1,0,0,0.2319464193605742,True
watch keeping up with the kardashians superfan millie bobby brown do spot on bible okurrr impressions on kardashians,18,0,0,0,1,0,0,0.30083693452591354,True
everything new coming to netflix in november 2018,8,16,0,0,1,0,0,0.03408119019473919,True
